X;Y
127.06;143.71
127.64;143.79
128.23;143.83
128.83;143.85
129.43;143.84
130.03;143.80
130.63;143.73
131.24;143.62
131.84;143.49
132.44;143.33
133.03;143.13
133.62;142.90
134.20;142.64
134.77;142.35
135.33;142.03
135.88;141.68
136.41;141.31
136.92;140.90
137.42;140.46
137.90;140.00
138.36;139.51
138.79;138.99
139.21;138.45
139.59;137.88
139.95;137.30
140.28;136.69
140.59;136.06
140.86;135.42
141.11;134.75
141.32;134.07
141.49;133.38
141.64;132.67
141.75;131.96
141.82;131.23
141.86;130.50
141.86;129.76
141.83;129.02
141.75;128.28
141.64;127.53
141.50;126.79
141.31;126.06
141.09;125.33
140.82;124.60
140.53;123.89
140.19;123.19
139.82;122.50
139.41;121.83
138.96;121.17
138.49;120.54
137.97;119.92
137.43;119.33
136.85;118.76
136.24;118.22
135.60;117.71
134.94;117.23
134.24;116.78
133.53;116.35
132.78;115.97
132.02;115.62
131.23;115.31
130.43;115.03
129.61;114.80
128.77;114.60
127.92;114.45
127.06;114.34
126.19;114.26
125.32;114.24
124.44;114.25
123.55;114.31
122.67;114.42
121.79;114.57
120.91;114.76
120.04;115.00
119.17;115.28
118.32;115.61
117.48;115.98
116.66;116.39
115.85;116.84
115.07;117.34
114.30;117.88
113.56;118.46
112.85;119.07
112.16;119.73
111.51;120.42
110.88;121.15
110.29;121.91
109.74;122.70
109.22;123.52
108.74;124.37
108.31;125.25
107.92;126.15
107.56;127.07
107.26;128.02
107.00;128.98
106.78;129.96
106.62;130.95
106.50;131.96
106.44;132.97
106.42;133.99
106.45;135.02
106.54;136.04
106.67;137.06
106.86;138.09
107.10;139.10
107.39;140.11
107.73;141.10
108.12;142.08
108.56;143.05
109.05;143.99
109.59;144.92
110.17;145.82
110.81;146.69
111.49;147.53
112.21;148.35
112.97;149.13
113.78;149.87
114.62;150.58
115.50;151.25
116.42;151.87
117.37;152.45
118.35;152.99
119.36;153.48
120.40;153.92
121.46;154.31
122.55;154.65
123.66;154.93
124.78;155.16
125.91;155.34
127.06;155.46
128.22;155.52
129.38;155.52
130.55;155.47
131.72;155.37
132.88;155.20
134.04;154.97
135.20;154.69
136.34;154.35
137.46;153.95
138.57;153.49
139.66;152.98
140.73;152.41
141.77;151.79
142.79;151.12
143.77;150.39
144.72;149.61
145.63;148.79
146.50;147.91
147.34;147.00
148.13;146.03
148.87;145.03
149.57;143.99
150.21;142.91
150.81;141.79
151.35;140.65
151.83;139.47
152.26;138.27
152.63;137.04
152.94;135.80
153.19;134.53
153.37;133.25
153.50;131.96
153.56;130.66
153.55;129.35
153.48;128.04
153.35;126.73
153.15;125.42
152.89;124.12
152.56;122.84
152.16;121.56
151.71;120.30
151.19;119.06
150.60;117.85
149.96;116.66
149.25;115.50
148.49;114.37
147.67;113.28
146.79;112.23
145.86;111.21
144.88;110.25
143.85;109.33
142.77;108.45
141.64;107.63
140.48;106.86
139.27;106.15
138.02;105.50
136.74;104.91
135.43;104.38
134.09;103.91
132.72;103.51
131.33;103.18
129.92;102.91
128.50;102.71
127.06;102.58
125.62;102.53
124.17;102.54
122.71;102.63
121.26;102.79
119.81;103.02
118.38;103.32
116.95;103.70
115.54;104.14
114.15;104.66
112.78;105.24
111.44;105.90
110.13;106.62
108.86;107.41
107.61;108.26
106.41;109.18
105.25;110.15
104.14;111.18
103.08;112.28
102.07;113.42
101.12;114.62
100.21;115.87
99.38;117.16
98.60;118.50
97.89;119.87
97.25;121.29
96.67;122.74
96.17;124.22
95.73;125.73
95.38;127.26
95.09;128.81
94.88;130.38
94.75;131.96
94.70;133.55
94.73;135.14
94.83;136.74
95.01;138.33
95.28;139.92
95.62;141.50
96.04;143.06
96.53;144.60
97.11;146.12
97.76;147.62
98.48;149.09
99.28;150.52
100.15;151.92
101.09;153.27
102.10;154.58
103.18;155.84
104.32;157.05
105.52;158.21
106.78;159.31
108.09;160.35
109.46;161.32
110.88;162.23
112.35;163.07
113.85;163.84
115.40;164.54
116.99;165.16
118.61;165.70
120.26;166.17
121.93;166.55
123.63;166.85
125.34;167.07
127.06;167.21
128.80;167.25
130.54;167.22
132.28;167.10
134.01;166.89
135.74;166.59
137.45;166.21
139.15;165.75
140.83;165.20
142.49;164.57
144.11;163.85
145.70;163.06
147.26;162.18
148.77;161.23
150.24;160.20
151.66;159.09
153.03;157.92
154.33;156.68
155.59;155.37
156.77;153.99
157.90;152.56
158.95;151.07
159.93;149.53
160.83;147.93
161.66;146.29
162.41;144.61
163.08;142.88
163.66;141.12
164.15;139.34
164.56;137.52
164.88;135.68
165.11;133.83
165.25;131.96
165.29;130.08
165.24;128.20
165.11;126.31
164.87;124.44
164.55;122.57
164.13;120.71
163.62;118.88
163.02;117.07
162.33;115.28
161.55;113.53
160.68;111.81
159.73;110.13
158.69;108.50
157.57;106.92
156.37;105.39
155.10;103.92
153.75;102.51
152.34;101.16
150.85;99.89
150.85;99.89
149.30;98.69
149.30;98.68
147.69;97.56
147.68;97.55
146.03;96.51
146.02;96.50
144.31;95.54
144.29;95.53
142.54;94.66
142.52;94.65
140.73;93.86
140.70;93.85
138.87;93.15
138.84;93.13
136.98;92.53
136.94;92.51
135.05;92.00
135.01;91.99
133.10;91.57
133.06;91.55
131.13;91.23
131.08;91.22
129.13;90.99
129.08;90.98
127.12;90.84
127.06;90.84
125.11;90.80
125.04;90.80
123.08;90.85
123.01;90.85
121.06;91.00
120.99;91.01
119.05;91.26
118.97;91.27
117.04;91.61
116.96;91.62
115.05;92.06
114.97;92.08
113.08;92.61
112.99;92.64
111.14;93.26
111.04;93.29
109.22;94.00
109.13;94.04
107.34;94.84
107.25;94.88
105.50;95.77
105.40;95.82
103.70;96.79
103.61;96.85
101.96;97.91
101.86;97.97
100.26;99.11
100.16;99.18
98.62;100.39
98.52;100.47
97.05;101.76
96.95;101.84
95.54;103.20
95.44;103.29
94.09;104.72
94.00;104.82
92.73;106.31
92.63;106.42
91.44;107.97
91.35;108.09
90.23;109.70
90.14;109.83
89.10;111.49
89.01;111.62
88.06;113.33
87.98;113.47
87.11;115.23
87.03;115.38
86.25;117.17
86.19;117.33
85.49;119.16
85.43;119.33
84.82;121.19
84.77;121.36
84.26;123.26
84.21;123.43
83.79;125.35
83.75;125.53
83.43;127.46
83.40;127.66
83.17;129.60
83.15;129.80
83.02;131.76
83.00;131.96
82.97;133.92
82.97;134.12
83.03;136.08
83.03;136.29
83.19;138.25
83.21;138.46
83.46;140.40
83.49;140.63
83.84;142.55
83.88;142.78
84.32;144.68
84.37;144.91
84.91;146.79
84.98;147.02
85.60;148.87
85.68;149.10
86.40;150.92
86.49;151.15
87.29;152.93
87.40;153.16
88.29;154.90
88.41;155.13
89.38;156.83
89.51;157.05
90.57;158.69
90.72;158.91
91.86;160.51
92.01;160.72
93.23;162.26
93.40;162.47
94.69;163.94
94.87;164.15
96.23;165.56
96.43;165.76
97.86;167.10
98.07;167.29
99.56;168.56
99.78;168.75
101.33;169.94
101.57;170.12
103.18;171.23
103.42;171.40
105.08;172.43
105.34;172.59
107.05;173.55
107.32;173.70
109.08;174.56
109.36;174.70
111.16;175.48
111.45;175.60
113.28;176.29
113.58;176.40
115.45;177.00
115.75;177.10
117.65;177.61
117.97;177.69
119.88;178.10
120.21;178.17
122.14;178.49
122.47;178.55
124.42;178.77
124.76;178.81
126.72;178.93
127.06;178.95
129.02;178.98
129.37;178.99
131.33;178.92
131.69;178.91
133.64;178.75
134.00;178.72
135.94;178.46
136.30;178.41
138.23;178.06
138.59;177.99
140.50;177.54
140.86;177.46
142.75;176.92
143.11;176.81
144.96;176.18
145.33;176.05
147.15;175.33
147.51;175.19
149.29;174.38
149.65;174.21
151.39;173.32
151.74;173.13
153.44;172.15
153.78;171.95
155.43;170.88
155.77;170.66
157.36;169.52
157.69;169.28
159.22;168.06
159.55;167.80
161.02;166.50
161.33;166.23
162.74;164.86
163.04;164.57
164.37;163.13
164.67;162.82
165.93;161.32
166.21;160.99
167.40;159.44
167.66;159.09
168.77;157.47
169.02;157.11
170.05;155.44
170.29;155.06
171.24;153.35
171.46;152.95
172.31;151.19
172.52;150.79
173.29;148.99
173.47;148.56
174.16;146.73
